name,address,phone,category,lat,lng,id,url
일신기사식당,서울 용산구 청파동2가 1-146,02-713-8423,음식점 > 기사식당,37.5466652188751,126.963630350708,18717848,https://pcmap.place.naver.com/place/18717848
정,서울 용산구 청파동2가 67-6,02-719-8719,음식점 > 중식 > 중국요리,37.5450480291289,126.967053023127,11600155,https://pcmap.place.naver.com/place/11600155
와플하우스,서울 용산구 청파동2가 71-75,02-711-2649,"음식점 > 간식 > 제과,베이커리",37.5444609837908,126.968542424231,11620882,https://pcmap.place.naver.com/place/11620882
쌍대포 본점,서울 용산구 청파동2가 95,02-707-1380,"음식점 > 한식 > 육류,고기",37.54558855224091,126.97015445832363,11711391,https://pcmap.place.naver.com/place/11711391
삼정카페,서울 용산구 청파동3가 132-48,02-703-7460,음식점 > 카페,37.543374425017426,126.96252755559581,37160501,https://pcmap.place.naver.com/place/37160501
까치네,서울 용산구 청파동3가 24-71,02-798-4668,음식점 > 분식,37.5444720918079,126.969673987177,1027383007,https://pcmap.place.naver.com/place/1027383007
버거인,서울 용산구 청파동3가 44,070-7573-7145,음식점 > 양식 > 햄버거,37.5436901157395,126.970031875561,36314854,https://pcmap.place.naver.com/place/36314854
두리식당,서울 용산구 청파동3가 50-1,02-704-9552,음식점 > 한식,37.5439668534769,126.970552282378,18718055,https://pcmap.place.naver.com/place/18718055
해바라기정육식당 청파점,서울 용산구 청파동2가 92,02-701-3012,"음식점 > 한식 > 육류,고기",37.545380431750274,126.97019527822364,1714717321,https://pcmap.place.naver.com/place/1714717321
양평매운탕,서울 용산구 청파동1가 149-2,02-712-6657,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",37.54900954958316,126.96977965440139,19882498,https://pcmap.place.naver.com/place/19882498
부암동치킨 숙대점,서울 용산구 청파동3가 111-35,02-704-5309,음식점 > 한식,37.54455435456373,126.96731576436,31413184,https://pcmap.place.naver.com/place/31413184
굴다리소곱창,서울 용산구 청파동3가 48-4,02-706-5989,"음식점 > 한식 > 육류,고기 > 곱창,막창",37.5436902466908,126.970552391177,18718329,https://pcmap.place.naver.com/place/18718329
한입소반 숙대본점,서울 용산구 청파동3가 24-50,02-701-4417,음식점 > 분식,37.54409923916463,126.97030781291777,34556586,https://pcmap.place.naver.com/place/34556586
가야해장 용산본점,서울 용산구 청파동2가 96-1,02-6949-2676,음식점 > 한식 > 해장국,37.5456939676964,126.970148758367,1993977929,https://pcmap.place.naver.com/place/1993977929
금강산,서울 용산구 청파동2가 114-3,02-713-6650,음식점 > 한식,37.54665621823538,126.97008387342409,13326495,https://pcmap.place.naver.com/place/13326495
더함,서울 용산구 청파동2가 71-88,02-707-3692,음식점 > 한식 > 한정식,37.54502023944623,126.96756337608461,13586350,https://pcmap.place.naver.com/place/13586350
와우신내떡,서울 용산구 청파동3가 24-73,02-704-8485,음식점 > 분식 > 떡볶이,37.5443784400236,126.969877707029,34937184,https://pcmap.place.naver.com/place/34937184
달인수제한방족발 용산본점,서울 용산구 청파동3가 84-4,02-707-3989,"음식점 > 한식 > 육류,고기 > 족발,보쌈",37.5424072257698,126.970561948103,31542967,https://pcmap.place.naver.com/place/31542967
바다잔치,서울 용산구 청파동1가 140-2,02-712-3118,"음식점 > 한식 > 해물,생선 > 회",37.549463626411,126.969676491556,18135585,https://pcmap.place.naver.com/place/18135585
달볶이 숙명여대점,서울 용산구 청파동2가 55-9,02-715-6137,음식점 > 분식 > 떡볶이,37.54515756828148,126.96570866029454,11822204,https://pcmap.place.naver.com/place/11822204
