place_name,review,emotion_tags
가야해장,곱창 싫어하는 아내도 잡내 없다고 너무 맛있게 먹었어요. 오징어 양볶음 처음 먹어봤는데 맛있었구요. 볶음밥이랑 우동사리 안넣어서 먹으면 범죄에요ㅜㅜ 꼭 추가해서 드세요. 주차는 가게 앞에 댈 수 있어요.,['냄새없음']
가야해장,"숙대입구역 해장국 맛집 가야해장 한우곱창 국밥 진한 국물에 건더기도 듬뿍 들어있고 너무 맛있었습니다 싱싱한 육회는 해장국과 곁들여 먹기 좋고 갓지은 따끈따끈한 밥도 너무 맛있었습니다
재방문 꼭 하겠습니다!!","['재방문', '양많음', '속풀이']"
가야해장,"쌍대포옆 화환이 가득했던 가야해장!
남편이랑 들러서 먹어봤는데
한우곱창국밥, 맑은 소뼈해장국 이거 두개 꼭 시키시기!!짱맛!!
거기에 오징어양볶음은 불향도 나고 너무 맛있음!!
계란 후라이도 해먹을 수 있어서 너무 좋음!",['속풀이']
가야해장,"새로 오픈 했는데 맛있다고 소문나서
지인들과 메뉴판 부수고 왔네요 ㅋㅋ
한옥느낌의 야외테이블은 너무 운치있고
물레방아 물소리도 너무 좋았어요~
해장국 가격이 완전 혜자고
곱창전골은 각종야채와 소뼈, 곱창 등이
들어가있고 특히 소뼈구이! 진짜 별미!!
달콤매콤 양념에 마늘소스가 올라가있고
마늘칩까지 이게 완전 킥! 밥한공기 비벼먹으면
완전 섹시푸드~~~
직원분들도 너무 친절하시고
자주 생각날것 같아요💜","['단맛', '친절함', '가성비', '매움', '속풀이']"
가야해장,갓지은 밥도 전골도 넘 맛있어요 반찬3가지이지만 깔끔하고 잘어울려서 부족함이 없게 느껴져요 육회도 연하니 ㅎㅎ 굿 마지막 매실 오미자 커피까지 동네맛집 생겼네요 아참 분위기도 좋아요^^,['분위기좋음']
가야해장,새로 오픈한 음식점이길래 들어가봣는데 인테리어가 너무 예쁘네요. 뒷편에 한옥도 잇고 마당도 잇고 물레방이 도는 소리가 너무 예뻐서 마당 아장에서 저넉에 술 마시기 너무 좋을거 같아서 친구들과 다시 올 예정입니다 ㅎㅎ,['분위기좋음']
가야해장,"곱창전골이 아주 푸짐하게도 소곱창이 듬뿍 들어있고 국물이 깊고 진하고 맛깔나네요
오징어양볶음도 아주 감칠맛나네요
밥두공기 뚝딱 완료!!",['양많음']
가야해장,"사이드로 먹운 뼈구이 개존맛 ㅠㅠㅠ
한우곱창전골 양 정말 넉넉해서 2명이 먹기 충분합니다
곱창 잘 못먹는데 여기 한우곱창은 넘 부드럽고 고소해요!! 볶음밥 칼국수 무조건 드셔야합니다❤️",[]
가야해장,가야행장~~ 새로 온픈 해장국주문~~ 계란후라이가 나오네요 ~~ ㅋㅋ 해장국 짜지않고 맛있어요 ~~ 오픈기념으로 천원할인해서 먹었어요 ㅋㅋㅋ ^^,['속풀이']
가야해장,한우곱창전골이랑 육회 먹고 왔어요 !! 숙대입구역 근처에 새로 생겨서 꼭한번 가봐야지 했었는데 맛도 있고 이야기하기도 좋네요 별관에서 먹어서 조용히 식사할 수 있던 점도 맘에 들어용 !! 👍,['분위기좋음']
가야해장,💕 가야해장~~^^ 새로 오픈해서 깨끗하고 친절해요,"['친절함', '속풀이']"
가야해장,"맑은해장국 11,000원
국밥 나오기 전에 계란후라이를 직접 해먹어라고 뜨거운 불판을 주는 곳이며, 테이블이 너무 다닥다닥 붙어 있어서 불편했습니다 맑은해장국 맛은 물 많이 넣은 소불고기 국물에 밥 말아먹는 느낌이었고 맛은 그냥 먹을만한 정도의 수준이었습니다 고기는 질겼고 먹기 불편하니 앞접시를 따로 요청해서 드시길 권해드립니다",['속풀이']
가야해장,계란후라이 퍼포먼스 감동! 국물은 매콤하네요,['매움']
가야해장,서울 목해장국 ~~ 양선지해장국 주문 쌀쌀한 날씨에 뜨거운 국물이 끝내줘요 ~~ 예전에 자주가다가 직원 너무 불친절해서 안가다가 오래간만에 방문 하니 다들 바뀌어서 친절해서 기분좋게 식사하고 왔어요~^^,"['친절함', '속풀이']"
가야해장,"양선지해장국 맛있어요~
너무 너무 맛있고 깍두기는 덤으로 맛나요~
정말 주변 어는 식당보다 보기엔 깔끔하고 세련 됐어요~
거리는 멀지만 해장국 먹어보면 싹~ 녹아요*^^*
국물맛이 끝내줍니다~ 숙대입구라면 요기 가 보세요~
강력 추천합니다
양선지해장국 꼭 먹어보세요~","['분위기좋음', '속풀이']"
가야해장,그동안 서울목해장국을 찾아주신 고객분들에게 감사의 인사를 올립니다. 저희 매장은 2월2일부터 3월 말까지 전면 리뉴얼 공사를 하여 고객 여러분께 보다 아늑하고 멋스러운 공간으로 다시 찾아 뵐 예정입니다. 특별한 메뉴와 서비스로 한 걸음 나아가 다시 찾아뵙겠습니다. 감사합니다.,['속풀이']
가야해장,서울 목해장국 ~~ 양선지해장국 양선지그득~~ 냄새도 안나고 국물도 얼큰하니 맛있어요 ~~^^,['속풀이']
